Series Name,Series Code,Country Name,Country Code,Region,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Nigeria,NGA,African Region,7.986821705,8.183410853,8.38,8.576589147,8.773178295,8.969767442,9.109457364,9.249147287,9.388837209,9.528527132,9.668217054,9.668217054,9.668217054,9.668217054,9.668217054,9.668217054,9.668217054,9.668217054,9.668217054,9.668217054,9.668217054,9.668217054
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,North Macedonia,MKD,European Region,16.74733785,16.03581801,15.32429816,19.54824137,23.77218458,27.99612778,20.66795741,13.33978703,19.34051307,25.34123911,21.99903195,18.65682478,15.31461762,11.97241046,16.40225879,20.83210713,25.26195547,38.69232817,52.12270087,38.70232333,38.3357938,37.96926428
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Northern Mariana Islands,MNP,#N/A,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Norway,NOR,European Region,1.829972841,1.95370994,1.942237914,1.960956002,2.136328083,2.083030961,2.234980989,2.301140684,2.231368821,2.161596958,2.133536122,2.10539924,2.077338403,2.094144487,2.11313308,2.063368821,2.013604563,2.046106464,2.044449926,2.042937874,2.041311754,2.009498099
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Oman,OMN,Eastern Mediterranean Region,92.85714286,90.79220779,89.75,84.71428571,87.91428571,91.11428571,94.31428571,97.51428571,100.7142857,103.9142857,107.1142857,110.3142857,113.5142857,116.7142857,116.7142857,116.7142857,116.7142857,116.7142857,116.7142857,116.7142857,116.7142857,116.7142857
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Pakistan,PAK,Eastern Mediterranean Region,105.8585363,106.641157,107.4237777,108.2063984,108.9890191,109.7716398,110.6941292,111.6166186,112.569781,112.3182627,113.6617385,110.1036746,115.2567327,112.569781,119.5448132,120.7901356,122.5507638,122.6734556,118.2381449,108.6497761,116.3057481,162.0698117
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Palau,PLW,Western Pacific Region,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Panama,PAN,Region of the Americas,..,..,..,..,..,..,..,..,..,..,0.771347813,0.815431915,0.859516017,0.903600119,0.8934097,0.930749777,0.90107111,0.90107111,0.90107111,0.90107111,0.90107111,0.90107111
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Papua New Guinea,PNG,Western Pacific Region,0.09153457,0.099676223,0.107817875,0.115959528,0.12410118,0.132242833,0.132242833,0.132242833,0.132242833,0.132242833,0.132242833,0.132242833,0.132242833,0.132242833,0.132242833,0.132242833,0.132242833,0.132242833,0.132242833,0.132242833,0.132242833,0.132242833
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Paraguay,PRY,Region of the Americas,0.372708603,0.499722255,0.626735907,0.753749559,0.880763211,1.007776864,1.134790516,1.261804168,1.38881782,1.504992497,1.621167175,1.713508785,1.835399711,1.835399711,1.835399711,1.835399711,1.835399711,1.835399711,1.835399711,1.835399711,1.835399711,1.835399711
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Peru,PER,Region of the Americas,..,..,..,..,..,..,..,..,2.526080477,2.969835354,3.412658785,3.855482217,4.298305648,4.74112908,5.183952511,5.626775943,6.069599374,6.512422805,6.955246237,7.181445604,7.181445604,7.181445604
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Philippines,PHL,Western Pacific Region,..,..,..,..,..,..,24.11800673,24.91470498,25.21828187,24.933048,25.45796393,25.69825741,25.75603791,25.81687557,25.81228982,26.41394069,26.63099969,28.06214613,28.17420079,26.28997676,26.74328009,27.20891578
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Poland,POL,European Region,42.0512288,41.30771893,40.56420907,40.77258567,40.97680858,41.18310834,41.3894081,41.60609207,39.32156456,39.84077535,37.62547594,41.22533749,39.70231914,38.90619592,36.79820007,36.16476289,35.61439945,34.89096573,33.22256836,31.0971928,30,32.0768432
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Portugal,PRT,European Region,21.42790249,20.95901266,20.49012284,20.02123301,19.55234318,19.08345336,18.20131976,18.37653205,18.24249325,18.10845445,17.97441565,17.84037684,17.70633804,17.57229924,17.43826044,17.30422164,17.17018284,12.37988748,12.31571228,12.31571228,12.31571228,12.31571228
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Puerto Rico,PRI,Region of the Americas,19.12033936,19.75440947,20.38847957,21.02254968,21.65661978,22.29068989,22.37374414,22.45679839,22.53583389,22.6229069,22.70596115,22.06653271,21.43782094,20.80375084,20.16968073,19.53561063,19.53561063,19.53561063,19.53561063,19.53561063,19.53561063,19.53561063
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Qatar,QAT,Eastern Mediterranean Region,282.5862069,300.8965517,321.9655172,341.6551724,361.3448276,374.137931,381.2931034,388.4482759,395.6034483,402.7586207,409.9137931,417.0689655,424.2241379,431.3793103,434.6551724,431.0344828,432.4137931,431.0344828,431.0344828,431.0344828,431.0344828,431.0344828
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Romania,ROU,European Region,9.034734575,8.480479356,8.634023032,7.965546297,6.669787473,5.720438161,4.99016946,6.445089411,6.759666698,6.437599476,5.822488531,6.171706769,6.068720157,6.008800674,5.881471772,6.052804045,5.967606029,6.341166557,6.00692819,6.547139781,6.924445277,7.362606498
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Russian Federation,RUS,European Region,4.826877888,4.210004166,4.182446233,4.1548883,4.127330368,4.407149376,4.072214503,4.04465657,4.017098637,3.989540705,4.432587467,3.934424839,4.070094662,3.879308974,4.503178172,3.970886104,4.120334893,4.096168705,4.122242749,4.122242749,4.122242749,4.122242749
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Rwanda,RWA,African Region,4.966887417,5.641024747,6.315162077,6.989299408,7.663436738,8.337574068,9.161143753,9.984713439,10.80828313,11.63185281,12.4554225,13.27899218,14.10256187,14.92613155,15.74970124,16.57327093,17.39684061,18.2204103,19.04397998,20.1986755,20.1986755,20.1986755
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Samoa,WSM,Western Pacific Region,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,San Marino,SMR,European Region,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Sao Tome and Principe,STP,African Region,0.794375748,0.861986438,0.929597128,0.997207818,1.064818508,1.132429198,1.200039888,1.267650578,1.335261268,1.402871959,1.470482649,1.538093339,1.605704029,1.673314719,1.740925409,1.808536099,1.876146789,1.876146789,1.876146789,1.876146789,1.876146789,1.876146789
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Saudi Arabia,SAU,Eastern Mediterranean Region,819.7583333,832.6442708,847.7802083,858.1661458,870.1354167,894.8203125,943.3333333,936.1284722,928.9236111,921.71875,914.5138889,907.3090278,900.1041667,894.2395833,894.7083333,948.875,929.5833333,955.9583333,974.1666667,974.1666667,974.1666667,974.1666667
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Senegal,SEN,African Region,8.452684742,10.12998405,11.80728336,11.89718466,11.98708596,12.07698726,12.16688856,12.25678986,12.35101406,12.44163584,12.53225762,12.62287941,12.71350119,12.80412297,12.89474476,12.98536654,13.07598832,13.15580287,16.0861244,16.2764487,16.2764487,16.2764487
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Serbia,SRB,European Region,..,..,..,..,..,..,2.387577065,4.46049814,5.2868252,5.222585371,4.980277246,5.353319058,4.962245013,5.307111462,4.434802209,5.284571171,5.304857433,6.059957173,6.263383298,6.331567677,5.990082272,5.692550434
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Seychelles,SYC,African Region,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Sierra Leone,SLE,African Region,0.44135514,0.452242991,0.463130841,0.474018692,0.484906542,0.495794393,0.495794393,0.495794393,0.495794393,0.495794393,0.495794393,0.495794393,0.495794393,0.495794393,0.495794393,0.495794393,0.495794393,0.495794393,0.495794393,0.495794393,0.495794393,0.495794393
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Singapore,SGP,Western Pacific Region,313.89375,328.2361667,338.24525,352.521,366.79675,377.5169444,346.2891389,315.0613333,284.45575,252.1835,219.91125,187.639,160.0334167,132.4278333,108.5055833,84.58333333,84.96666667,83.21666667,81.38333333,82.16666667,83.11666667,83.11666667
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Sint Maarten (Dutch part),SXM,#N/A,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Slovak Republic,SVK,European Region,5.040877797,4.875,4.709122203,4.440189329,4.171256454,3.90232358,3.431153184,2.959982788,2.855851979,2.702667814,2.584767642,2.552065405,2.862736661,2.742685026,2.406626506,2.468158348,2.389414802,2.393717728,2.394578313,2.403614458,2.388123924,2.436631239
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Slovenia,SVN,European Region,..,..,6.079783638,6.134775749,6.189767861,6.244759973,6.284651792,6.324543611,7.031778229,6.373901285,6.257606491,5.749154834,6.274509804,7.813387424,6.628127113,6.064908722,5.999323868,6.29749831,6.497633536,6.382691007,6.781609195,6.29479378
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Solomon Islands,SLB,Western Pacific Region,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Somalia,SOM,Eastern Mediterranean Region,24.46749963,24.48757995,24.50766027,24.52774059,24.52774059,24.52774059,24.52774059,24.52774059,24.52774059,24.52774059,24.52774059,24.52774059,24.52774059,24.52774059,24.52774059,24.52774059,24.52774059,24.52774059,24.52774059,24.52774059,24.52774059,24.52774059
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,South Africa,ZAF,African Region,40.77169388,41.45323776,42.13478164,42.81632553,43.49786941,44.17941329,44.86095717,45.54250105,46.22404493,46.90558881,47.58713269,48.26867657,48.95022045,45.74447646,52.74735831,59.75024015,60.99903939,62.05571566,62.88824848,64.04098623,65.03362152,66.89081012
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,South Sudan,SSD,African Region,..,..,..,..,..,..,..,..,..,..,..,..,4.226075787,4.226075787,4.226075787,4.226075787,4.226075787,4.226075787,4.226075787,4.226075787,4.226075787,4.226075787
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Spain,ESP,European Region,49.22290389,48.81526926,48.40763463,49.28470802,50.16178141,51.03885481,49.36128153,47.68370825,47.41649625,49.24335378,47.73006135,47.81186094,50.10224949,44.10361282,44.79754601,42.95841854,42.56441718,41.02794819,40.09406953,39.82890252,43.25403923,43.25403923
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Sri Lanka,LKA,South-East Asia Region,91.23842917,91.14782609,91.057223,90.96661992,90.87601683,90.78541374,90.78541374,90.78541374,90.78541374,90.78541374,90.78541374,90.78541374,90.78541374,90.78541374,90.78541374,90.78541374,90.78541374,90.78541374,90.78541374,90.78541374,90.78541374,90.78541374
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,St. Kitts and Nevis,KNA,Region of the Americas,..,..,..,..,..,..,..,..,..,..,..,..,50.83333333,50.83333333,50.83333333,50.83333333,50.83333333,50.83333333,50.83333333,50.83333333,50.83333333,50.83333333
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,St. Lucia,LCA,Region of the Americas,..,..,..,..,..,..,..,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,St. Martin (French part),MAF,#N/A,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,St. Vincent and the Grenadines,VCT,Region of the Americas,9.75,9.7,9.417444444,9.334222222,9.251,9.5,9.3,9.1,8.9,8.7,8.5,8.3,8.1,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Sudan,SDN,Eastern Mediterranean Region,..,..,..,..,..,..,..,..,..,..,..,..,118.6563877,118.6563877,118.6563877,118.6563877,118.6563877,118.6563877,118.6563877,118.6563877,118.6563877,118.6563877
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Suriname,SUR,Region of the Americas,4.297626684,4.239790464,4.181954244,4.124118024,4.066281805,4.008445585,3.950609365,3.950609365,3.950609365,3.950609365,3.950609365,3.950609365,3.950609365,3.950609365,3.950609365,3.950609365,3.950609365,3.950609365,3.950609365,3.950609365,3.950609365,3.950609365
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Sweden,SWE,European Region,3.878787879,3.861471862,3.861471862,3.83982684,3.818181818,3.796536797,3.795815296,3.795093795,3.823472824,3.851851852,3.88023088,3.78961039,3.698989899,3.608369408,3.517748918,3.427128427,3.458297258,3.48946609,3.520634921,3.551803752,3.582972583,3.582972583
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Switzerland,CHE,European Region,9.664530892,9.633943555,9.603356217,9.407513349,9.211670481,9.015827613,8.819984745,8.624141876,8.428299008,8.23245614,8.036613272,7.840770404,7.627765065,6.559877956,6.498855835,6.506167048,6.498855835,6.498855835,6.498855835,6.498855835,6.498855835,6.498855835
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Syrian Arab Republic,SYR,Eastern Mediterranean Region,134.2238846,138.5163416,145.6852792,128.6401282,125.6541099,125.9631312,125.9631312,125.9631312,125.9631312,125.5623831,125.1616351,124.760887,124.3601389,124.3601389,124.3601389,124.3601389,124.3601389,124.3601389,124.3601389,124.3601389,124.3601389,124.3601389
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Tajikistan,TJK,European Region,81.20464441,79.97954875,78.75445309,77.52935744,76.30426178,75.07916612,73.85407046,73.28598027,72.71789008,72.14979989,71.58170969,71.0136195,70.44552931,69.87743912,69.30934893,68.74125874,57.7186964,52.69824515,64.48080222,69.94326428,69.94326428,69.94326428
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Tanzania,TZA,African Region,10.65094399,11.8070924,12.96324081,12.96324081,12.96324081,12.96324081,12.96324081,12.96324081,12.96324081,12.96324081,12.96324081,12.96324081,12.96324081,12.96324081,12.96324081,12.96324081,12.96324081,12.96324081,12.96324081,12.96324081,12.96324081,12.96324081
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Thailand,THA,South-East Asia Region,..,..,..,..,..,..,..,23.01393518,23.01393518,23.01393518,23.01393518,23.01393518,23.01393518,23.01393518,23.01393518,23.01393518,23.01393518,23.01393518,23.01393518,23.01393518,23.01393518,23.01393518
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Timor-Leste,TLS,South-East Asia Region,..,..,..,..,28.26821032,28.26821032,28.26821032,28.26821032,28.26821032,28.26821032,28.26821032,28.26821032,28.26821032,28.26821032,28.26821032,28.26821032,28.26821032,28.26821032,28.26821032,28.26821032,28.26821032,28.26821032
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Togo,TGO,African Region,2.580481622,2.575411914,2.570342205,2.844106464,3.117870722,3.391634981,3.391634981,3.391634981,3.391634981,3.391634981,3.391634981,3.391634981,3.391634981,3.391634981,3.391634981,3.391634981,3.391634981,3.391634981,3.391634981,3.391634981,3.391634981,3.391634981
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Tonga,TON,Western Pacific Region,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Trinidad and Tobago,TTO,Region of the Americas,18.98428053,19.35912938,19.73397823,20.10882709,20.48367594,18.68198307,18.9560661,19.23014913,19.50423216,19.7783152,20.05239823,20.32648126,20.32648126,20.32648126,20.32648126,20.32648126,20.32648126,20.32648126,20.32648126,20.32648126,20.32648126,20.32648126
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Tunisia,TUN,Eastern Mediterranean Region,66.01833278,71.32519107,71.70606607,72.08694107,72.46781606,72.84869106,73.22956606,73.61044105,73.99131605,76.55587436,79.12043267,81.68499099,84.26986263,86.85473428,89.43960592,92.02447757,94.60934921,89.53101592,95.9987812,96.31059086,98.11339918,98.11339918
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Turkiye,TUR,European Region,31.19661294,30.40865087,29.6206888,28.83272673,29.3679591,29.90319146,30.43842383,30.80266285,31.16690188,33.52150338,34.88078437,36.19921266,37.51764094,38.05986779,38.60209463,39.89452574,44.27690708,43.66707643,45.37887544,46.28214365,47.16312857,43.37814752
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Turkmenistan,TKM,European Region,127.9088099,130.9362871,133.9637644,136.9912416,143.5600206,143.5600206,143.5600206,143.6902112,143.8204019,143.9505925,144.0807831,144.2109737,144.3411643,144.471355,144.6015456,144.7317362,144.8619268,148.6666667,138.4853168,142.7516744,135.2138073,135.2138073
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Turks and Caicos Islands,TCA,#N/A,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Tuvalu,TUV,Western Pacific Region,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Uganda,UGA,African Region,3.015553522,3.161710888,3.307868253,3.727889601,4.147910949,4.567932296,4.987953644,5.407974992,5.82799634,5.82799634,5.82799634,5.82799634,5.82799634,5.82799634,5.82799634,5.82799634,5.82799634,5.82799634,5.82799634,5.82799634,5.82799634,5.82799634
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Ukraine,UKR,European Region,23.68489246,22.85851257,22.02954133,21.2005701,20.37159886,19.53874061,19.48121275,19.41953874,19.358383,19.29696813,19.24073594,17.96093548,16.68113501,15.40133454,14.12153408,11.80228038,12.08214563,13.87017362,13.87017362,13.72894532,12.25576574,12.25576574
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,United Arab Emirates,ARE,Eastern Mediterranean Region,1555.866667,1527.928889,1499.991111,1472.053333,1669.36,1866.666667,1849.636364,1832.606061,1815.575758,1798.545455,1781.515152,1764.484848,1747.454545,1730.424242,1713.393939,1696.363636,1679.333333,1630,1667.333333,1628.666667,1587.333333,1533.333333
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,United Kingdom,GBR,European Region,21.285515,21.41985585,21.5541967,21.68853755,21.8228784,21.95721925,22.0915601,14.51491901,14.23188406,14.11935209,14.09036658,13.10315431,13.66922421,13.04518329,12.42114237,13.91304348,14.35464621,14.35464621,14.35464621,14.35464621,14.35464621,14.35464621
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,United States,USA,Region of the Americas,30.00633714,30.07604563,30.13941698,30.20278834,30.2661597,30.32953105,29.57160963,28.81368821,28.05576679,27.29784537,26.53358682,26.86433602,27.18874808,27.51316014,27.83757221,28.16198427,28.16198427,28.16198427,28.16198427,28.16198427,28.16198427,28.16198427
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Uruguay,URY,Region of the Americas,9.786096257,9.786096257,9.786096257,9.786096257,9.786096257,9.786096257,9.786096257,9.786096257,9.786096257,9.786096257,9.786096257,9.786096257,9.786096257,9.786096257,9.786096257,9.786096257,9.786096257,9.786096257,9.786096257,9.786096257,9.786096257,9.786096257
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Uzbekistan,UZB,European Region,153.0808308,154.1152853,150.8316605,147.5480356,144.2644107,140.9807858,141.3950228,141.8092598,142.2234968,142.6377338,143.0519708,143.4662078,143.8804448,144.2946818,144.7089188,158.1301979,156.438199,168.9131058,160.3842845,151.843992,143.2606825,121.8353886
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Vanuatu,VUT,Western Pacific Region,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,"Venezuela, RB",VEN,Region of the Americas,3.019633333,3.681113333,4.342593333,4.755216978,5.383801077,6.012385176,6.58888185,7.540366667,7.540366667,7.540366667,7.540366667,7.540366667,7.540366667,7.540366667,7.540366667,7.540366667,7.540366667,7.540366667,7.540366667,7.540366667,7.540366667,7.540366667
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Viet Nam,VNM,Western Pacific Region,15.9049433,16.35745925,16.80997519,17.22373317,17.67624911,18.13031538,18.13031538,18.13031538,18.13031538,18.13031538,18.13031538,18.13031538,18.13031538,18.13031538,18.13031538,18.13031538,18.13031538,18.13031538,18.13031538,18.13031538,18.13031538,18.13031538
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Virgin Islands (U.S.),VIR,#N/A,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,West Bank and Gaza,PSE,Eastern Mediterranean Region,40.07512005,38.57509628,46.16079494,48.62596872,54.31464841,58.19426615,56.26681881,53.85679646,51.44677412,49.03675177,38.62501783,38.06874911,41.73441734,43.1322208,39.15275995,41.53473114,40.02282128,41.07830552,42.74711168,47.01183854,50.26387106,47.75353017
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,"Yemen, Rep.",YEM,Eastern Mediterranean Region,161.1428571,162.8666667,164.5904762,166.3142857,168.0380952,169.7619048,169.7619048,169.7619048,169.7619048,169.7619048,169.7619048,169.7619048,169.7619048,169.7619048,169.7619048,169.7619048,169.7619048,169.7619048,169.7619048,169.7619048,169.7619048,169.7619048
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Zambia,ZMB,African Region,2.895923521,2.865710678,2.835497836,2.835497836,2.835497836,2.835497836,2.835497836,2.835497836,2.835497836,2.835497836,2.835497836,2.835497836,2.835497836,2.835497836,2.835497836,2.835497836,2.835497836,2.835497836,2.835497836,2.835497836,2.835497836,2.835497836
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Zimbabwe,ZWE,African Region,35.73976718,37.60796095,39.47615471,38.28389035,37.09162599,35.89936162,34.70709726,33.5148329,33.3094724,33.1041119,32.90121573,32.69667668,32.48803042,32.28266992,32.07730943,31.87194893,31.93766429,31.34622606,35.40538538,39.76966178,46.09162031,46.09162031
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Africa Eastern and Southern,AFE,#N/A,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Africa Western and Central,AFW,#N/A,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Arab World,ARB,#N/A,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Caribbean small states,CSS,#N/A,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Central Europe and the Baltics,CEB,#N/A,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Early-demographic dividend,EAR,#N/A,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,East Asia & Pacific,EAS,#N/A,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,East Asia & Pacific (excluding high income),EAP,#N/A,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,#N/A,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Euro area,EMU,#N/A,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
